from,to, weight
1, 0, 2
3, 2, 1
4, 2, 1
4, 3, 1
6, 5, 1
7, 5, 1
7, 6, 1
8, 5, 1
8, 6, 1
8, 7, 1
10, 9, 1
11, 9, 1
11, 10, 1
12, 9, 1
12, 10, 1
12, 11, 1
14, 13, 1
15, 13, 1
15, 14, 1
17, 16, 1
18, 16, 1
18, 17, 1
19, 16, 1
19, 17, 1
19, 18, 1
20, 16, 1
20, 17, 1
20, 18, 2
20, 19, 1
21, 16, 1
21, 17, 1
21, 18, 1
21, 19, 1
21, 20, 1
22, 16, 1
22, 17, 1
22, 18, 3
22, 19, 1
22, 20, 2
22, 21, 1
24, 23, 2
25, 23, 2
25, 24, 2
27, 26, 1
28, 26, 1
28, 27, 1
30, 29, 1
31, 29, 1
31, 30, 1
33, 32, 1
34, 22, 1
35, 18, 1
35, 22, 2
35, 34, 1
36, 22, 1
36, 34, 1
36, 35, 1
38, 37, 1
39, 37, 1
39, 38, 1
40, 37, 1
40, 38, 2
40, 39, 1
42, 41, 1
43, 41, 1
43, 42, 1
44, 41, 1
44, 42, 1
44, 43, 1
45, 41, 1
45, 42, 1
45, 43, 1
45, 44, 1
46, 41, 1
46, 42, 1
46, 43, 1
46, 44, 1
46, 45, 1
47, 38, 1
47, 40, 1
48, 47, 1
49, 47, 1
49, 48, 1
51, 50, 1
52, 50, 1
52, 51, 1
53, 35, 1
54, 35, 1
54, 53, 1
56, 55, 2
57, 55, 2
57, 56, 2
58, 18, 1
58, 20, 1
58, 22, 1
59, 18, 1
59, 20, 1
59, 22, 1
59, 58, 1
60, 18, 1
60, 20, 1
60, 22, 1
60, 58, 1
60, 59, 1
61, 18, 1
61, 20, 1
61, 22, 1
61, 58, 1
61, 59, 1
61, 60, 1
62, 18, 1
62, 20, 1
62, 22, 1
62, 58, 1
62, 59, 1
62, 60, 1
62, 61, 1
63, 18, 1
63, 20, 1
63, 22, 1
63, 58, 1
63, 59, 1
63, 60, 1
63, 61, 1
63, 62, 1
64, 18, 1
64, 20, 1
64, 22, 1
64, 58, 1
64, 59, 1
64, 60, 1
64, 61, 1
64, 62, 1
64, 63, 1
65, 18, 1
65, 20, 1
65, 22, 1
65, 58, 1
65, 59, 1
65, 60, 1
65, 61, 1
65, 62, 1
65, 63, 1
65, 64, 1
67, 66, 3
69, 68, 1
70, 68, 1
70, 69, 1
71, 18, 1
71, 22, 1
71, 35, 1
72, 18, 1
72, 22, 1
72, 35, 1
72, 71, 1
73, 18, 1
73, 22, 1
73, 35, 1
73, 71, 1
73, 72, 1
74, 56, 1
76, 75, 1
77, 38, 1
77, 40, 1
77, 47, 1
78, 38, 1
78, 40, 1
78, 47, 1
78, 77, 1
79, 38, 1
79, 40, 1
79, 47, 1
79, 77, 1
79, 78, 1
80, 38, 1
80, 40, 1
80, 47, 1
80, 77, 1
80, 78, 1
80, 79, 1
81, 38, 1
81, 40, 1
81, 47, 1
81, 77, 1
81, 78, 1
81, 79, 1
81, 80, 1
82, 66, 1
82, 67, 1
84, 83, 3
86, 85, 1
87, 85, 1
87, 86, 1
89, 88, 1
91, 90, 1
92, 90, 1
92, 91, 1
93, 90, 1
93, 91, 1
93, 92, 1
94, 90, 1
94, 91, 1
94, 92, 1
94, 93, 1
96, 95, 1
97, 68, 1
98, 68, 2
98, 97, 1
100, 99, 1
102, 101, 2
103, 101, 2
103, 102, 2
105, 104, 1
106, 104, 1
106, 105, 1
108, 107, 1
109, 107, 1
109, 108, 1
110, 107, 1
110, 108, 1
110, 109, 1
111, 107, 1
111, 108, 2
111, 109, 1
111, 110, 1
112, 107, 1
112, 108, 1
112, 109, 1
112, 110, 1
112, 111, 1
113, 108, 1
113, 111, 1
114, 108, 1
114, 111, 1
114, 113, 1
115, 82, 1
116, 82, 1
116, 115, 1
117, 82, 1
117, 115, 1
117, 116, 1
119, 118, 2
120, 118, 2
120, 119, 2
121, 68, 1
121, 98, 1
122, 68, 1
122, 98, 1
122, 121, 1
124, 123, 1
126, 125, 1
128, 127, 1
129, 127, 1
129, 128, 1
130, 127, 1
130, 128, 1
130, 129, 1
131, 47, 1
132, 47, 1
132, 131, 1
133, 95, 1
135, 134, 1
136, 134, 1
136, 135, 1
138, 137, 1
140, 139, 1