from, to, weight
1, 0, 1
3, 2, 3
4, 2, 1
4, 3, 1
5, 2, 1
5, 3, 1
5, 4, 1
6, 2, 4
6, 3, 6
6, 4, 1
6, 5, 1
8, 6, 1
8, 7, 1
9, 7, 1
9, 8, 1
10, 7, 1
10, 8, 1
10, 9, 1
12, 11, 1
13, 6, 13
14, 13, 3
15, 6, 1
16, 13, 1
17, 13, 2
17, 16, 1
18, 13, 2
18, 16, 1
18, 17, 2
19, 2, 2
19, 3, 3
19, 6, 4
20, 19, 2
21, 3, 1
21, 6, 1
21, 19, 2
21, 20, 2
22, 19, 2
22, 20, 2
22, 21, 2
23, 6, 3
23, 13, 3
24, 6, 2
24, 13, 2
24, 23, 1
25, 6, 1
25, 13, 1
25, 23, 1
25, 24, 1
26, 6, 2
26, 13, 2
26, 23, 2
26, 24, 1
26, 25, 1
27, 2, 1
27, 3, 1
27, 6, 1
28, 2, 1
28, 3, 1
28, 6, 1
28, 27, 1
29, 2, 1
29, 3, 1
29, 6, 3
29, 13, 1
29, 24, 1
29, 27, 1
29, 28, 1
31, 30, 1
32, 30, 1
32, 31, 1
33, 6, 1
33, 13, 1
33, 24, 1
33, 29, 1
34, 6, 4
34, 13, 4
34, 24, 1
34, 29, 1
34, 33, 1
35, 2, 1
35, 3, 2
35, 6, 2
35, 19, 2
36, 6, 1
36, 13, 1
37, 36, 1
38, 36, 1
38, 37, 1
40, 39, 1
41, 39, 1
41, 40, 1
42, 39, 1
42, 40, 1
42, 41, 1
43, 39, 1
43, 40, 1
43, 41, 1
43, 42, 1
44, 2, 1
44, 6, 1
44, 19, 1
45, 6, 1
45, 29, 1
46, 6, 2
46, 13, 2
47, 12, 1
48, 6, 2
49, 6, 2
49, 48, 2
50, 6, 2
50, 48, 2
50, 49, 2
51, 14, 2
52, 6, 1
52, 13, 1
52, 36, 1
53, 6, 1
53, 13, 1
53, 36, 1
53, 52, 1
54, 6, 1
54, 13, 1
54, 36, 1
54, 52, 1
54, 53, 1
55, 3, 1
55, 6, 1
55, 19, 1
56, 6, 1
56, 48, 1
56, 49, 1
56, 50, 1
57, 6, 1
58, 6, 1
58, 57, 1
59, 6, 1
59, 13, 1
59, 34, 1
60, 6, 1
60, 13, 1
60, 34, 1
60, 59, 1