author1, author2, weight
2, 1, 1
3, 1, 1
3, 2, 1
4, 1, 1
4, 2, 1
4, 3, 1
6, 5, 1
7, 5, 1
7, 6, 1
8, 5, 1
8, 6, 1
8, 7, 1
9, 3, 1
10, 3, 1
10, 9, 1
11, 3, 1
11, 9, 1
11, 10, 1
13, 6, 1
13, 8, 1
13, 12, 3
15, 14, 1
16, 14, 1
16, 15, 1
17, 14, 1
17, 15, 1
17, 16, 1
18, 6, 1
18, 8, 1
18, 13, 2
19, 6, 1
19, 13, 1
19, 18, 1
20, 6, 1
20, 13, 1
20, 18, 1
20, 19, 2
22, 21, 1
23, 19, 1
23, 20, 1
25, 24, 1
26, 24, 1
26, 25, 1
28, 27, 1
29, 8, 1
29, 13, 1
29, 18, 1
30, 8, 1
30, 12, 1
30, 13, 3
30, 18, 1
30, 29, 1
32, 31, 2
33, 13, 1
33, 30, 1
34, 12, 1
34, 13, 2
34, 30, 2
34, 33, 1
35, 13, 1
35, 30, 1
35, 33, 1
35, 34, 1
36, 12, 1
36, 13, 2
36, 30, 2
36, 33, 1
36, 34, 2
36, 35, 1
38, 37, 1
39, 37, 1
39, 38, 1
40, 37, 1
40, 38, 1
40, 39, 1
42, 41, 1
43, 41, 1
43, 42, 1
45, 44, 1
47, 12, 1
47, 13, 1
50, 49, 1
53, 52, 1