Release,Technique,CommitHash,Added,Removed
base,aop,f3d5c523b39c8c43f627681f1efc3f68a9438fb8,4312,0
base,aop,9ca840ed7295e600e7b29a6275d075b90453a5fb,0,0
v0.1.0,aop,73dee6a6b02d57f2f103d4f6641fa85d3e4d6585,59,0
v0.1.0,aop,6a5925820abf423792085a06fa32bd2accfe5753,0,0
v0.1.0,aop,57763f235a09bac0d8628f34afa4aeba367cebdb,0,0
v0.1.0,aop,22e831d812184a5998b7fdaa86288fe9d82fda6a,96,28
v0.1.0,aop,b17dea07ca3d5d422200be63cf6e88b3ffc77786,0,0
v0.1.0,aop,cede91e3b35b180c5adbeea74e524c906712789c,0,0
v0.1.0,aop,590f09f75a5b6149ce798e5a8dfc7eee5a82c2ba,0,0
v0.1.0,aop,822479da6f5370af67e581d6542b69c9978d6296,0,0
v0.1.0,aop,beb1a86f11ea9a58bf074fa9cf695f54f2bb9f47,0,0
v0.1.0,aop,41c4ecc5662dcade5a66ec0fbfd124afcec29f1b,0,0
v0.1.0,aop,6b73d9d35f4dd5503a5c76986affdcdac9552764,193,0
v0.1.0,aop,744e640c351ba046c4a5b4869ceeaaefa9a64898,149,54
v0.1.0,aop,1e20a208e1b6a17ce93c034ebe7f084382d746c0,35,9
v0.1.0,aop,54c9425b67a0fa95ef82fea73b920cfde543ba5d,187,7
v0.1.0,aop,f7fd92aaa4b3e0613ca473046a02baace833ec0d,235,56
v0.1.0,aop,81ead0b292dbe5ef1e99b9da7db2330f4b74e07d,196,150
v0.1.0,aop,f51f5632de99f29480e7c8d3f565b8a025382fd0,420,6
v0.1.0,aop,f3ca3704cf35cd84826e1c4d94538ed6463c763c,173,26
v0.1.0,aop,df1b705226ec03864964f238de1123d5d110d845,25,15
v0.1.0,aop,e2e7b1d5629fdd1f70befa1dacb34db10b655cf5,13,9
v0.1.0,aop,20c16c2476e4005a31d1099ee34deb722c5c2ef9,197,40
v0.1.0,aop,db38d799cb677707c48419b02b89085e594b12d5,361,0
v0.1.0,aop,b707d5a0acc4a25fccd71f0d6fa43139fe0ab60f,86,30
v0.1.0,aop,728a2469ced17f7c394b7bcfada424fab4cdbf67,265,215
v0.1.0,aop,9cf59dc4f27dab37fc3f3d1c43a2c1e17d73ab9a,47,0
v0.1.0,aop,29df955f984bd716a9f4940f64387328d8780fb7,76,8
v0.1.0,aop,f83bb429af4762fa369695228863677a25adc0a8,62,46
v0.1.0,aop,d21caa689ac70f808ab14b4acd2540706e46ae00,163,51
v0.1.0,aop,2db625b40a786702571f11df8271ef31c91e464f,471,241
v0.1.0,aop,6dba2dae2e132f636c6791534ebd56953e874873,129,4
v0.1.0,aop,20cb9dea8fc011fc68e6088dcf9dd116709c690f,182,4
v0.1.0,aop,c662f811467dd1892069227931244b86f2a62137,15,0
v0.1.0,aop,238c1f791671fa51f16461de3bc27968caf0fe55,41,0
v0.1.0,aop,a6222d6a3ff4e1de2f26cbb128c8c1358099e1d7,99,52
v0.1.0,aop,46ddf9f9e2ef1089f90839940c49eae5ff6c5e35,76,56
v0.1.0,aop,d857adb04a12d63fb233ecc0e4d8898c241d8b55,73,13
v0.1.0,aop,c470f19314f696b985278380081350ef733560ff,6,10
v0.1.0,aop,3a02e1a465af005d25bf7615b8cb0f0ae64e2522,245,6
v0.1.0,aop,2d9174c059230442d0b9cd3a47440ca07e9f47ec,58,0
v0.1.0,aop,9728df67d8b72c8e77d675257a32317dbe20dec8,589,121
v0.1.0,aop,4b9016cf1c933848aa84d975ec568a1e4346e128,74,66
v0.1.0,aop,5eb67b5a15210d9674f8ca0ea621ac794191793d,106,30
v0.1.1,aop,50d6bf2158810694b4f3045932a63e7698ab77e8,0,0
v0.1.1,aop,75085179499eacd5ecab0d3ca75589cd90a56ca7,188,50
v0.1.1,aop,79a770695d5f1e0a38d120bd5e35600a6b90b90f,210,0
v0.1.1,aop,baf4b7a9c7571c8c58ee98bb8342f5ee58a57683,124,38
v0.1.1,aop,f0d59f4d7436714e82e576db27c9caaa2902e58e,0,0
v0.1.1,aop,bca5d1e377b494c2b3641f4ae79e92752968155e,158,21
v0.1.1,aop,6e1e0a230126430fbf78f3145d6c27d1c8a49fa7,108,4
v0.1.1,aop,c1f3068b5aa7d79ea973f2a054994691c0d0e1b1,45,31
v0.1.1,aop,a1052a55b1b8a19928bd66d5cbd33ef40569f7a2,0,0
v0.1.1,aop,7e492def14ad2ef4d5ee8317fb876427b7fb3c43,189,13
v0.1.1,aop,9f912b330e660ab2a234c399f4abb2c5544a5f9d,0,0
v0.1.1,aop,6abe220955cf3852816df60ab9e55e5aaa47b93b,31,1
v0.1.1,aop,671557797016ad44bd04edbd793ac00ad4493319,0,0
v0.1.1,aop,1255daa1ad64135787630f61faa9c4bfad6d5ca8,10,1
v0.1.1,aop,1909cd1599215fe88755b60b54002b42acc48a5d,0,0
v0.1.1,aop,578ae90a40cfd59833380fb87c878eac5187e941,13,11
v0.1.1,aop,d2209583de57f7a8ec0f06574632f6fb857872c8,3,3
v0.1.1,aop,91836d2159df2bbeba60268cccc76d3732392afe,4,2
v0.1.1,aop,ca97bc16c09459c982778e0a40f5ad4caf042ff4,2,2
v0.1.1,aop,880cc7229df67458b51ea412551351f31e05768a,0,0
v0.1.1,aop,58b69ae8629d027ea29bae0ee632b107e037fd23,2,2
v0.1.1,aop,bf922449c9165e52a090b6016202282eeee68416,0,0
v0.1.1,aop,97f97b5759c2a90b320bfd104166f13cb22d4f1d,0,0
v0.1.1,aop,ebc622bb47a30560237da712f2f5028f046e1836,0,0
v0.1.1,aop,822e53e8d499214a2d0ea80eaeaec7547b0b0bb5,0,0
v0.1.1,aop,7ebdf08e65610b055c99674ff2e369b1b0f1ae2a,0,0
v0.1.1,aop,5f918fa97ce75c70176806514bb8fa3a51c07b0e,0,0
v0.1.1,aop,d117e47954b3117c4569541e2cfd715fc30e9a2b,2,1
v0.1.1,aop,24d5b6f7e8e53002175fb35d58f7161522f214e4,0,0
v0.1.1,aop,64691533e3ebb4c351aa7c3d13ae1b5b400152d6,0,0
v0.1.1,aop,ac8ab374181bcefb1edb97d1570dcf905a78e917,0,0
v0.1.1,aop,84fc0ed4e28825f99d6f6e5dc6802e3d5ce2f0a9,0,0
base,dop,e3eeb6a555908b9aa16f9e9e03a66e3aeb094dbc,4312,0
v0.1.0,dop,3dbb33eb7630bb1a827abfcada324d3b75cfafb8,0,0
v0.1.0,dop,5b299f516b7e501550a3017bb2f138074aa5e840,329,0
v0.1.0,dop,f40fe9c5ec548acdaf4089284d2e178e767db7e8,0,0
v0.1.0,dop,433ce4364a33cf009f489ac738a00e77b8955b9b,0,0
v0.1.0,dop,75d965ce586c73282a561c03986005e732265d23,0,0
v0.1.0,dop,defd3628b6eda2fdfd9515c79df987aa68d34915,0,0
v0.1.0,dop,aa0bea9519de8dfdc4941c7fabe3f74ac0bb7f94,0,0
v0.1.0,dop,6adec0ffba4fecee57d1212c6440a1cbcfa34cb6,1075,0
v0.1.0,dop,836df678650bcbfa6c839ef257b9fe55a213633d,0,0
v0.1.0,dop,aa4a6726fa4358e14bce3ef55d68a949da6af54e,305,0
v0.1.0,dop,a663951dff4dc4f6c4091621c5fee1fd81d816de,334,0
v0.1.0,dop,9ddeceb6ead397a68c1eb7b326bd0334aee4c2cb,0,0
v0.1.0,dop,ebb2da75b834526b47a8177becd87032ced75e9f,2273,363
v0.1.0,dop,8fd1f2fb555965e7add4f59128d30a62787f0ea6,0,0
v0.1.0,dop,24163019776478f4f662040c84a6013f06342238,11,3
v0.1.0,dop,c70b79d57b912be1f0f73acfb755f7bda5b99d8b,203,0
v0.1.0,dop,36333888f774fa7224206c38430fd4a38fe07f70,273,29
v0.1.0,dop,bf239a670380da665625aa11b852f2532e4698c8,11,10
v0.1.0,dop,45ceefcfde83eb2e3ca17de3174dfa4acf41c702,439,0
v0.1.0,dop,a16075d18332de2d435bb4b2dd158371ac37c5b3,296,49
v0.1.0,dop,406045b20ebd8d309c0d47917ad13100c0e71e60,175,18
v0.1.0,dop,5683d3a2851ab7be4fcb667b3b6ea029ec729ec4,0,0
v0.1.0,dop,3457505b1fea8abecfc07b8ecbe989da89662a7c,0,0
v0.1.0,dop,c30ffde329f54b560a6ccacac4e1ce451d467fd3,8,1
v0.1.0,dop,553e4fdad0f1278e0fc1df85f77ed8be045a5a1a,0,0
v0.1.0,dop,f4ed1d75c7ccdc7ac3d3103c460fa3fc22fefb34,55,72
v0.1.0,dop,3893403cf6af355b4ae1e6368efd3964e5cdd8bf,0,134
v0.1.0,dop,8b0371856293cbd1ced51d5f444f6b604bfdf930,158,27
v0.1.0,dop,e3f67a6120a409142cf2cb807d54f6c9a7694e19,48,1
v0.1.0,dop,b8948e9d5ee495812e1bb3d6b27fa6d3d56566e5,7,3
v0.1.0,dop,075a778ecee3dc4c8214a3e22636416c52e8f1a8,76,37
v0.1.0,dop,800b220530e62f784fdc9a6b69064fb60f60199c,142,167
v0.1.0,dop,ef1047db6c08798c11f17fc7c7498886d8f3e701,27,27
v0.1.0,dop,7acd479870e4a390fdbf72b82462f27da812f98e,18,21
v0.1.0,dop,abf57bf22a2d906efe8f9fb3810d3deb98c3cc98,65,10
v0.1.0,dop,ec437618c67b234799abce49f5892f38e14b5a91,6,9
v0.1.0,dop,fba5ddbd8b3d93dbd421983ddbdfba0019c1f2f7,25,22
v0.1.0,dop,d6fa766326daf9ae37f3596f862dbfb52f1fbd8c,442,336
v0.1.0,dop,e0df88f37540b6aa8e93105193be17233b17b304,44,33
v0.1.0,dop,0f1873da9f10fa3fc86c220512b25ef4104f1a6c,33,31
v0.1.0,dop,92d4df41518ce3e7af3dbaedc5a043361ab08856,0,0
v0.1.0,dop,f6f4d870ad6b727596faefbd06c10cd85fe078d1,232,1
v0.1.0,dop,988ef551016f451f92da5741e403c31ec4cfe934,53,46
v0.1.0,dop,d3926c6acb250781d20be466433dd21e2ae1d406,75,31
v0.1.0,dop,6963caa30674daeec4f6a3d9fc24cd824951e299,152,90
v0.1.0,dop,7bdfd6e6fd4f2d647fda5b76136fefa615bae681,1,5
v0.1.0,dop,58d67fa1d7976f5d7fa941129c07550e1c95939f,120,63
v0.1.0,dop,9b450e11d921f227adfd0f58a871b741799f9850,57,20
v0.1.0,dop,6808cddcf431bff1572eae4f4df0e2b5dcb1bb95,43,8
v0.1.0,dop,92596c6468df7a4c47d134d3b5ef113d9d030f9f,62,20
v0.1.0,dop,f6f5537884f9c58ca4ec7df9e13eaad9c559ccc3,10,10
v0.1.0,dop,a54d7ed332a9e3181fa2719002c70317389bdf50,62,20
v0.1.0,dop,2c7951d1c8f1f5c63e9b6d79f26b5f0f723304b4,0,0
v0.1.0,dop,0518f6447ab5da3e81f02ae0b34e46f12e4e7d7e,156,21
v0.1.0,dop,564d0134f4fbf4ef531287f1bb845b5c89acc9e3,13,3
v0.1.0,dop,8b0099dc3c96fd4babe6dada8191772d460c0c54,26,11
v0.1.0,dop,f6b0f3758f6232537c45255ddf454ef1fc69d26c,24,13
v0.1.0,dop,ab157c1cee8fc84bef810c2a44b4057b1bd409a7,4,0
v0.1.0,dop,0194252629c1c0073562dd10f34b1f1245689adb,30,12
v0.1.0,dop,c6b68909b25d5220b64ce6bd464fc5707c983338,5,1
v0.1.0,dop,efe534980c488ea7820f65ac33e11a8abf03ecbb,73,39
v0.1.0,dop,a3f6b1484a7b04bf0cb207cd1e5006f6a207428d,45,19
v0.1.0,dop,96e88c5711d45e859dffc611ebbe8efe1498edf0,52,56
v0.1.0,dop,b999d784495050e85946214086ceec2599277e03,33,22
v0.1.0,dop,b4f90f4a62bf31ea63eb259e937a3b9f46c7c815,21,31
v0.1.0,dop,003dd43ca9cfbfe99f276bd682c34b3aab7cf0b0,4,5
v0.1.0,dop,d3208c6914eb0b5c0336f123b7bf7df55e637f9d,0,0
v0.1.0,dop,c53022ab62725235df05111949eb6481c8c2a14d,0,0
v0.1.0,dop,7278ed2843f474d7401b733d5874da8fa2af284e,80,32
v0.1.0,dop,6f588d72ef7affab4e817e082b2ba1d490a969dd,104,46
v0.1.0,dop,390afe63f7ee08a01ee03b85c8b9c5d583ee28a4,80,32
v0.1.0,dop,e9ec37778da35c2dceb5b80bd3fac0845c44c1e0,135,117
v0.1.0,dop,539bef304274aeb364df02807443b939c3800d74,15,9
v0.1.0,dop,a30577b19ace5a26508c47e2ecd001914d0392de,8,8
v0.1.0,dop,f79115dc9020273d4efb4cb0cb6696bd81309e8e,512,525
v0.1.0,dop,f820eaedb937596e4c9cda0d70b3ba74104a6561,35,45
v0.1.0,dop,6af7e95fc5f1bb72b4a61b5141957e479e63db02,4,2
v0.1.0,dop,ba1a2c0225dfb3244e5cc911791f121a03a57189,16,12
v0.1.1,dop,78aecb4a43f8900dc4e644e7ca5ed4f8753b1bfc,0,0
v0.1.1,dop,e71a03573a7d21a09872a9a1d35048e8a89b4f1b,0,0
v0.1.1,dop,82a18232575a5369f6b457f92e12603bcb751ef6,0,0
v0.1.1,dop,a0871e0bf3daa5ce684282d5f1a93650041692d9,70,0
v0.1.1,dop,6a60207b2105258e0f1db12074a24095b8e8b31d,47,6
v0.1.1,dop,3816ee357c0afa7e9a7523de427079d549c2cb87,4,3
v0.1.1,dop,39512144bec8bbfdc91f15821f54ce6d97128f57,52,44
v0.1.1,dop,9cf6537fe2687a72794dcac1f568ec19513e74e1,388,276
v0.1.1,dop,6578e2755f987f6c98aa5fde97a4eaf006238f3c,4,4
v0.1.1,dop,b567efba54c5504d24d5261a48f25c247e65ffa7,3,0
v0.1.1,dop,bc1f26739163503a635c4aab9eae543724d6b36c,2,18
v0.1.1,dop,9af7f084a891c22163a408c02765ee66b9f9e092,30,1
v0.1.1,dop,08d2980ad2fe2cde436f32cda8074b57032dda91,2,2
v0.1.1,dop,45a5e38cee287b44ff12760df24521b81b13f547,2,11
v0.1.1,dop,236cbccb119c5162b0f6dd96e6828d081789392b,0,0
v0.1.1,dop,8f36b5caa2c1909a7b81ad9463e8747a2833caae,41,34
v0.1.1,dop,ece37f5b8bbb65207759665c3c8df416532a40ef,0,0
v0.1.1,dop,daa2f5a73857c1275618229cac8719b6507bbadb,0,0
v0.1.1,dop,4f28a95b3fa6c356af4ffbc1ab2b6a43abbaabe9,0,0
v0.1.1,dop,e621cf8442217d6b5e7478df66c43c750b568d5f,0,0
v0.1.1,dop,ab56b5cbf8052a8ff6dab4de665a814ccdb52fab,0,0