Release,DeltaName,AddedClasses,ModifiedClasses,RemovedClasses,AddedMethods,ModifiedMethods,RemovedMethods,AddedImports,RemovedImports,AddedFields,ModifiedFields,RemovedFields
v1,dController,3,0,0,0,0,0,0,0,0,0,0
v1,dEditGUI,1,0,0,0,0,0,0,0,0,0,0
v1,dGUI,8,0,0,0,0,0,0,0,0,0,0
v1,dModel,11,0,0,0,0,0,0,0,0,0,0
v1,dPersistence,7,0,0,0,0,0,0,0,0,0,0
v1,dReminder,1,0,0,0,0,0,0,0,0,0,0
v1,dUtil,3,0,0,0,0,0,0,0,0,0,0
v1,dCreateController,0,1,0,1,0,0,0,0,0,0,0
v1,dCreateFixedDateGUI,0,1,0,1,0,0,0,0,0,0,0
v1,dCreateGUI,3,1,0,2,0,0,0,0,0,0,0
v1,dDeleteController,0,1,0,1,0,0,0,0,0,0,0
v1,dDoneGUI,0,1,0,0,1,0,0,0,0,0,0
v1,dEditController,0,1,0,1,0,0,0,0,0,0,0
v1,dFixedDateUtil,1,1,0,0,0,0,0,0,2,0,0
v1,dViewFixedDateGUI,0,1,0,1,0,0,0,0,0,0,0
v1,dViewGUI,0,1,0,3,0,0,0,0,1,0,0
v1,dCreateModel,0,2,0,2,0,0,0,0,0,0,0
v1,dDeleteModel,0,2,0,2,0,0,0,0,0,0,0
v1,dEditModel,0,2,0,2,0,0,0,0,0,0,0
v1,dViewModel,0,2,0,2,0,0,0,0,0,0,0
v1,dDoneModel,0,3,0,4,2,0,0,0,2,0,0
v1,dViewController,0,3,0,7,0,0,0,0,1,0,0
v1,dFixedDateModel,0,4,0,7,4,0,1,0,4,0,0
v1,dFixedDateGUI,1,6,0,12,14,0,2,0,6,0,0
v2,dController,3,0,0,0,0,0,0,0,0,0,0
v2,dEditGUI,1,0,0,0,0,0,0,0,0,0,0
v2,dGUI,8,0,0,0,0,0,0,0,0,0,0
v2,dModel,11,0,0,0,0,0,0,0,0,0,0
v2,dPersistence,7,0,0,0,0,0,0,0,0,0,0
v2,dReminder,1,0,0,0,0,0,0,0,0,0,0
v2,dUtil,3,0,0,0,0,0,0,0,0,0,0
v2,dCreateController,0,1,0,1,0,0,0,0,0,0,0
v2,dCreateFixedDateGUI,0,1,0,1,0,0,3,0,0,0,0
v2,dCreateGUI,3,1,0,2,0,0,0,0,0,0,0
v2,dDeleteController,0,1,0,1,0,0,0,0,0,0,0
v2,dDoneGUI,0,1,0,0,1,0,0,0,0,0,0
v2,dEditController,0,1,0,1,0,0,0,0,0,0,0
v2,dFixedDateUtil,1,1,0,0,0,0,0,0,2,0,0
v2,dManageCategoryController,1,1,0,4,0,0,0,0,0,0,0
v2,dStaticCategoryController,1,1,0,5,0,0,1,0,0,0,0
v2,dStaticCategoryPersistence,0,1,0,0,1,0,2,0,0,0,0
v2,dStaticCategoryReminder,0,1,0,0,1,0,1,0,0,0,0
v2,dViewFixedDateGUI,0,1,0,1,0,0,0,0,0,0,0
v2,dViewGUI,0,1,0,3,0,0,0,0,1,0,0
v2,dCreateModel,0,2,0,2,0,0,0,0,0,0,0
v2,dDeleteModel,0,2,0,2,0,0,0,0,0,0,0
v2,dEditModel,0,2,0,2,0,0,0,0,0,0,0
v2,dViewModel,0,2,0,2,0,0,0,0,0,0,0
v2,dDoneModel,0,3,0,4,2,0,0,0,2,0,0
v2,dManageCategoryModel,0,3,0,6,1,0,1,0,0,0,0
v2,dViewController,0,3,0,7,0,0,0,0,1,0,0
v2,dFixedDateModel,0,4,0,7,4,0,1,0,4,0,0
v2,dFixedDateGUI,1,6,0,12,14,0,2,0,6,0,0
v2,dManageCategoryGUI,2,6,0,4,9,1,5,0,1,0,0
v2,dStaticCategoryGUI,2,7,0,13,17,0,13,0,4,0,0
v2,dStaticCategoryModel,3,8,0,8,6,0,6,0,15,0,2
v3,dController,3,0,0,0,0,0,0,0,0,0,0
v3,dEditGUI,1,0,0,0,0,0,0,0,0,0,0
v3,dGoogleCalendarCalendar,1,0,0,0,0,0,0,0,0,0,0
v3,dGoogleCalendarModel,1,0,0,0,0,0,0,0,0,0,0
v3,dGUI,8,0,0,0,0,0,0,0,0,0,0
v3,dModel,11,0,0,0,0,0,0,0,0,0,0
v3,dPersistence,7,0,0,0,0,0,0,0,0,0,0
v3,dPriorityController,1,0,0,0,0,0,0,0,0,0,0
v3,dReminder,1,0,0,0,0,0,0,0,0,0,0
v3,dUtil,3,0,0,0,0,0,0,0,0,0,0
v3,dCreateController,0,1,0,1,0,0,0,0,0,0,0
v3,dCreateDateRangeFixedDateGUI,0,1,0,1,0,0,3,0,0,0,0
v3,dCreateGUI,3,1,0,2,0,0,0,0,0,0,0
v3,dDateRangeFixedDateUtil,1,1,0,0,0,0,0,0,2,0,0
v3,dDeleteController,0,1,0,1,0,0,0,0,0,0,0
v3,dDoneGUI,0,1,0,0,1,0,0,0,0,0,0
v3,dEditController,0,1,0,1,0,0,0,0,0,0,0
v3,dGoogleCalendarDateRangeCalendar,0,1,0,0,1,0,0,0,0,0,0
v3,dGoogleCalendarGUI,0,1,0,0,2,0,4,0,2,0,0
v3,dManageCategoryController,1,1,0,4,0,0,0,0,0,0,0
v3,dManageCategoryPriorityGUI,0,1,0,0,2,0,2,0,0,0,0
v3,dPriorityReminder,0,1,0,0,1,0,1,0,0,0,0
v3,dSearchController,0,1,0,1,0,0,0,0,0,0,0
v3,dSearchDateRangeGUI,0,1,0,0,1,0,0,0,0,0,0
v3,dSearchGUI,0,1,0,1,0,0,0,0,0,0,0
v3,dSearchReminder,0,1,0,1,1,0,5,0,1,0,0
v3,dStaticCategoryController,1,1,0,5,0,0,1,0,0,0,0
v3,dStaticCategoryPersistence,0,1,0,0,1,0,2,0,0,0,0
v3,dStaticCategoryPriorityGUI,0,1,0,0,1,0,2,0,0,0,0
v3,dStaticCategoryReminder,0,1,0,0,1,0,1,0,0,0,0
v3,dViewDateRangeGUI,0,1,0,1,0,0,0,0,0,0,0
v3,dViewFixedDateGUI,0,1,0,1,0,0,0,0,0,0,0
v3,dViewGUI,0,1,0,3,0,0,0,0,1,0,0
v3,dCreateModel,0,2,0,2,0,0,0,0,0,0,0
v3,dDateRangeFixedDateGUI,1,2,0,3,1,0,2,0,0,0,0
v3,dDeleteModel,0,2,0,2,0,0,0,0,0,0,0
v3,dEditModel,0,2,0,2,0,0,0,0,0,0,0
v3,dViewModel,0,2,0,2,0,0,0,0,0,0,0
v3,dDoneModel,0,3,0,4,2,0,0,0,2,0,0
v3,dManageCategoryModel,0,3,0,6,1,0,1,0,0,0,0
v3,dPriorityModel,1,3,0,2,3,0,1,0,2,0,0
v3,dViewController,0,3,0,7,0,0,0,0,1,0,0
v3,dDateRangeModel,0,4,0,13,4,0,1,0,8,0,0
v3,dFixedDateModel,0,4,0,7,4,0,1,0,4,0,0
v3,dDateRangeGUI,0,6,0,11,12,0,0,0,3,0,0
v3,dFixedDateGUI,1,6,0,11,14,0,2,0,6,0,0
v3,dManageCategoryGUI,2,6,0,4,9,1,6,0,1,0,0
v3,dPriorityGUI,1,7,0,4,16,0,13,0,4,0,0
v3,dStaticCategoryGUI,2,7,0,13,17,0,13,0,4,0,0
v3,dStaticCategoryModel,3,8,0,8,6,0,6,0,15,0,2
v4,dController,3,0,0,0,0,0,0,0,0,0,0
v4,dEditGUI,1,0,0,0,0,0,0,0,0,0,0
v4,dGoogleCalendarCalendar,1,0,0,0,0,0,0,0,0,0,0
v4,dGoogleCalendarModel,1,0,0,0,0,0,0,0,0,0,0
v4,dGUI,8,0,0,0,0,0,0,0,0,0,0
v4,dModel,11,0,0,0,0,0,0,0,0,0,0
v4,dPersistence,7,0,0,0,0,0,0,0,0,0,0
v4,dPriorityController,1,0,0,0,0,0,0,0,0,0,0
v4,dReminder,1,0,0,0,0,0,0,0,0,0,0
v4,dUtil,3,0,0,0,0,0,0,0,0,0,0
v4,dCreateController,0,1,0,1,0,0,0,0,0,0,0
v4,dCreateGUI,3,1,0,2,0,0,0,0,0,0,0
v4,dDateRangeFixedDateUtil,1,1,0,0,0,0,0,0,1,0,0
v4,dDeleteController,0,1,0,1,0,0,0,0,0,0,0
v4,dDoneGUI,0,1,0,0,1,0,0,0,0,0,0
v4,dEditController,0,1,0,1,0,0,0,0,0,0,0
v4,dGoogleCalendarDateRangeCalendar,0,1,0,0,1,0,0,0,0,0,0
v4,dGoogleCalendarGUI,0,1,0,0,2,0,4,0,2,0,0
v4,dManageCategoryController,1,1,0,4,0,0,0,0,0,0,0
v4,dPriorityReminder,0,1,0,0,1,0,1,0,0,0,0
v4,dSearchController,0,1,0,1,0,0,0,0,0,0,0
v4,dSearchDateRangeGUI,0,1,0,0,1,0,0,0,0,0,0
v4,dSearchDateRepeatGUI,0,1,0,0,1,0,0,0,0,0,0
v4,dSearchGUI,0,1,0,1,0,0,0,0,0,0,0
v4,dSearchReminder,0,1,0,1,1,0,5,0,1,0,0
v4,dStaticCategoryController,1,1,0,5,0,0,1,0,0,0,0
v4,dStaticCategoryPersistence,0,1,0,0,1,0,2,0,0,0,0
v4,dStaticCategoryReminder,0,1,0,0,1,0,1,0,0,0,0
v4,dViewDateRangeGUI,0,1,0,1,0,0,0,0,0,0,0
v4,dViewDateRepeatGUI,0,1,0,1,0,0,0,0,0,0,0
v4,dViewFixedDateGUI,0,1,0,1,0,0,0,0,0,0,0
v4,dViewGUI,0,1,0,3,0,0,0,0,1,0,0
v4,dCreateModel,0,2,0,2,0,0,0,0,0,0,0
v4,dDeleteModel,0,2,0,2,0,0,0,0,0,0,0
v4,dEditModel,0,2,0,2,0,0,0,0,0,0,0
v4,dManageCategoryPriorityGUI,0,2,0,0,2,1,2,0,0,0,0
v4,dStaticCategoryPriorityGUI,0,2,0,0,1,1,2,0,0,0,0
v4,dViewModel,0,2,0,2,0,0,0,0,0,0,0
v4,dDateRangeFixedDateGUI,1,3,0,0,1,0,2,0,4,0,0
v4,dDateRepeatModel,1,3,0,29,3,0,0,0,14,0,0
v4,dDoneModel,0,3,0,4,2,0,0,0,2,0,0
v4,dManageCategoryModel,0,3,0,6,1,0,1,0,0,0,0
v4,dPriorityModel,1,3,0,2,3,0,1,0,2,0,0
v4,dViewController,0,3,0,7,0,0,0,0,1,0,0
v4,dDateRangeModel,0,4,0,13,4,0,1,0,8,0,0
v4,dDateRepeatFixedDateModel,0,4,0,4,4,0,1,0,2,0,0
v4,dFixedDateModel,0,4,0,3,4,0,0,0,2,0,0
v4,dDateRangeGUI,0,6,0,13,13,0,0,0,3,0,0
v4,dDateRepeatFixedDateGUI,0,6,0,5,11,0,0,0,4,0,0
v4,dDateRepeatGUI,0,6,0,1,14,1,4,2,14,0,3
v4,dFixedDateGUI,1,6,0,6,14,0,0,0,6,0,0
v4,dManageCategoryGUI,2,6,0,5,9,1,7,0,1,0,0
v4,dPriorityGUI,1,7,0,5,17,0,14,0,4,0,0
v4,dStaticCategoryGUI,2,7,0,14,18,0,14,0,4,0,0
v4,dStaticCategoryModel,3,8,0,8,6,0,6,0,15,0,2
