Release,Technique,Feature,DoS
v1,CC,create,0.61453
v1,CC,reminder,0.94659
v1,CC,manageReminder,0.93983
v1,CC,view,0.64489
v1,CC,edit,0.50465
v1,CC,delete,0.54017
v1,CC,fixedDate,0.83658
v1,CC,done,0.62541
v1,CC,gui,0.75245
v2,CC,manageCategory,0.94158
v2,CC,create,0.6396
v2,CC,staticCategory,0.9234
v2,CC,reminder,0.94214
v2,CC,manageReminder,0.9326
v2,CC,view,0.64664
v2,CC,edit,0.3306
v2,CC,delete,0.5262
v2,CC,fixedDate,0.83285
v2,CC,done,0.62262
v2,CC,gui,0.73831
v3,CC,manageCategory,0.93958
v3,CC,create,0.60809
v3,CC,staticCategory,0.91674
v3,CC,reminder,0.91199
v3,CC,manageReminder,0.92756
v3,CC,view,0.54894
v3,CC,googleCalendar,0.30736
v3,CC,dateRange,0.76517
v3,CC,fixedDate,0.81025
v3,CC,edit,0.29157
v3,CC,delete,0.5253
v3,CC,priority,0.89428
v3,CC,done,0.5712
v3,CC,gui,0.69577
v3,CC,search,0.45755
v4,CC,manageCategory,0.94025
v4,CC,create,0.70072
v4,CC,staticCategory,0.91574
v4,CC,reminder,0.90697
v4,CC,manageReminder,0.90942
v4,CC,view,0.42508
v4,CC,googleCalendar,0.30724
v4,CC,dateRange,0.79356
v4,CC,fixedDate,0.7927
v4,CC,edit,0.25034
v4,CC,delete,0.5251
v4,CC,priority,0.9048
v4,CC,dateRepeat,0.83739
v4,CC,done,0.5984
v4,CC,gui,0.69852
v4,CC,search,0.35598
v1,DOP,reminder,0.86712
v1,DOP,manageReminder,0.85972
v1,DOP,create,0.47995
v1,DOP,fixedDate,0.54124
v1,DOP,gui,0.66776
v1,DOP,delete,0.48293
v1,DOP,done,0.51329
v1,DOP,edit,0.72533
v1,DOP,view,0.71459
v2,DOP,reminder,0.90715
v2,DOP,manageReminder,0.91087
v2,DOP,create,0.73477
v2,DOP,fixedDate,0.54024
v2,DOP,gui,0.75781
v2,DOP,delete,0.47774
v2,DOP,done,0.50777
v2,DOP,edit,0.80411
v2,DOP,manageCategory,0.43942
v2,DOP,staticCategory,0.7136
v2,DOP,view,0.70691
v3,DOP,reminder,0.92181
v3,DOP,manageReminder,0.92891
v3,DOP,create,0.80875
v3,DOP,dateRange,0.7212
v3,DOP,fixedDate,0.65256
v3,DOP,gui,0.87374
v3,DOP,edit,0.84533
v3,DOP,delete,0.47226
v3,DOP,done,0.50194
v3,DOP,googleCalendar,0.65003
v3,DOP,manageCategory,0.50893
v3,DOP,staticCategory,0.7397
v3,DOP,priority,0.56346
v3,DOP,search,0.70546
v3,DOP,view,0.77333
v4,DOP,reminder,0.92751
v4,DOP,manageReminder,0.93477
v4,DOP,create,0.83135
v4,DOP,gui,0.91379
v4,DOP,dateRange,0.67445
v4,DOP,fixedDate,0.77429
v4,DOP,edit,0.87637
v4,DOP,dateRepeat,0.80164
v4,DOP,delete,0.47138
v4,DOP,done,0.50101
v4,DOP,googleCalendar,0.64883
v4,DOP,manageCategory,0.50529
v4,DOP,staticCategory,0.73364
v4,DOP,priority,0.5381
v4,DOP,search,0.77741
v4,DOP,view,0.81774